title,price,rating,reviews,availability
One Piece Odyssey - PlayStation 4,$59.99,Previous page of related Sponsored Products,,"This item will be released on January 13, 2023."
"Uplay Newest Play-Station 4 Console PS.4 with One Wireless Controller, White (Playstation)",$567.00,5.0 out of 5 stars,3 ratings,Not Available
PlayStation 4 Console with Free The Last of Us Remastered Voucher,,4.3 out of 5 stars,327 ratings,Only 1 left in stock - order soon.
Sony Playstation PS4 1TB Black Console,,4.7 out of 5 stars,896 ratings,In Stock.
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),,4.5 out of 5 stars,"4,182 ratings",Only 1 left in stock - order soon.
PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],,4.7 out of 5 stars,"2,796 ratings",Only 2 left in stock - order soon.
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.5 out of 5 stars,296 ratings,Not Available
Newest Sony Playstation 4 Slim 1TB SSD Console - Marvel's Spider-Man PS4 Bundle with DualShock-4 Wireless Controller,,4.5 out of 5 stars,251 ratings,Not Available
PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,595 ratings",Only 1 left in stock - order soon.
Sony Playstation 4 Slim Video Game Console 500GB Jet Black PS4,,4.5 out of 5 stars,238 ratings,Not Available
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,240 ratings",
Sonic Frontiers - PlayStation 4,$39.99,4.7 out of 5 stars,111 ratings,In Stock.
PlayStation 4 Slim 1TB Console - Only On PlayStation Bundle,,4.8 out of 5 stars,"8,871 ratings",Only 1 left in stock - order soon.
PlayStation 4 Slim 500GB Console [Discontinued],,4.6 out of 5 stars,"1,847 ratings",
DualShock 4 Wireless Controller for PlayStation 4 - Magma Red,$59.99,4.7 out of 5 stars,"142,338 ratings",In Stock.
Sonic Frontiers - PlayStation 4,$39.99,4.7 out of 5 stars,111 ratings,In Stock.
Astronite - PlayStation 4,$29.99,Previous page of related Sponsored Products,,Only 10 left in stock (more on the way).
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$59.00,4.7 out of 5 stars,"142,338 ratings",
PlayStation PS5 Console – God of War Ragnarök Bundle,,4.8 out of 5 stars,"1,400 ratings",Available by invitation
Jitsu Squad - PlayStation 4,$29.99,Previous page of related Sponsored Products,,Only 12 left in stock (more on the way).
